Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
2,Ofi,308,12.1,NA,NA,16.1,NA,NA,18.7,NA,NA,21.2,NA,NA
2,Ofi,309,11.7,NA,NA,14.3,NA,NA,16.0,1,NA,NA,NA,NA
3,Fi,310,8.9,NA,NA,13.0,NA,NA,15.7,NA,NA,16.3,NA,17.1
2,Ofi,311,6.3,NA,NA,6.8,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,312,10.6,NA,NA,14.0,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,313,7.2,NA,NA,7.3,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,314,8.1,NA,NA,7.8,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,315,11.6,NA,NA,15.9,NA,NA,19.0,1,NA,NA,NA,NA
2,Ofi,316,11.4,NA,NA,11.4,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,317,6.0,NA,NA,5.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,318,10.3,NA,NA,14.3,NA,NA,16.8,1,NA,NA,NA,NA
2,Ofi,319,13.1,NA,NA,16.3,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,320,11.8,NA,NA,17.7,NA,NA,21.4,1,NA,NA,NA,NA
2,Ofi,321,10.7,NA,NA,12.9,NA,NA,13.0,7,NA,NA,NA,NA
2,Ofi,322,10.5,NA,NA,13.4,NA,NA,15.0,7,NA,NA,NA,NA
2,Ofi,323,8.5,NA,NA,8.5,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,324,11.2,NA,NA,18.0,NA,NA,24.9,NA,NA,26.2,NA,NA
2,Ofi,325,5.8,NA,NA,6.0,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,326,9.9,NA,NA,13.1,NA,NA,14.7,1,NA,NA,NA,NA
2,Ofi,327,7.2,NA,NA,7.5,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,328,8.7,NA,NA,10.3,NA,NA,11.0,7,NA,NA,NA,NA
1,Dgl,329,10.5,NA,NA,20.1,NA,17.0,20.5,NA,NA,45.6,NA,27.8
2,Ofi,330,13.7,NA,NA,19.2,NA,NA,20.0,NA,NA,23.0,NA,NA
2,Ofi,331,8.9,NA,NA,10.5,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,332,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,333,8.8,NA,NA,12.3,NA,NA,22.3,1,NA,NA,NA,NA
2,Ofi,334,11.4,NA,NA,15.6,NA,NA,15.6,NA,NA,16.1,NA,NA
2,Ofi,335,6.6,NA,NA,9.1,1,NA,NA,NA,NA,NA,NA,NA
1,Dgl,336,6.4,NA,NA,6.8,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,337,15.1,NA,NA,20.2,NA,NA,20.2,NA,NA,20.2,NA,NA
2,Ofi,338,7.1,NA,NA,6.7,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,339,8.4,NA,NA,11.9,NA,NA,12.0,7,NA,NA,NA,NA
2,Ofi,340,8.8,NA,NA,11.8,NA,NA,13.0,7,NA,NA,NA,NA
2,Ofi,341,9.4,NA,NA,12.1,NA,NA,12.5,7,NA,NA,NA,NA
2,Ofi,342,6.4,NA,NA,6.4,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,343,12.4,NA,NA,18.6,NA,NA,22.6,NA,NA,23.6,NA,NA
2,Ofi,344,10.6,NA,NA,12.3,NA,NA,12.5,7,NA,NA,NA,NA
2,Ofi,345,8.4,NA,NA,8.9,4,NA,NA,NA,NA,NA,NA,NA
