Bestandeseinheit,Baumart,Baumnummer,D_1960,Aus_1960,H_1960,D_1967,Aus_1967,H_1967,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2015,Aus_2015,H_2015
3,Ah,31108,27.4,NA,NA,28.0,NA,NA,29.8,NA,NA,30.6,NA,28.3,32.0,NA,28.8,32.3,NA,NA,32.4,NA,NA,33.8,NA,NA,35.4,NA,NA
1,Bu,31109,34.2,NA,NA,37.0,NA,NA,43.8,NA,NA,51.0,NA,31.4,55.6,NA,NA,58.2,NA,NA,59.0,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,31201,9.2,NA,NA,9.2,1,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31202,14.2,NA,NA,14.3,NA,NA,14.5,NA,NA,14.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31203,32.9,NA,NA,36.5,NA,NA,42.7,NA,NA,49.4,NA,NA,54.8,NA,NA,59.5,NA,NA,58.1,NA,NA,59.5,NA,NA,61.7,2,36.9
1,Bu,31204,26.2,NA,NA,29.3,NA,NA,34.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31205,20.0,NA,NA,22.5,NA,NA,27.4,NA,NA,31.0,NA,NA,34.6,NA,NA,38.9,NA,NA,37.2,NA,NA,38.5,NA,NA,40.2,NA,NA
1,Bu,31301,31.4,NA,NA,35.5,NA,NA,41.8,NA,NA,45.8,NA,NA,50.3,NA,NA,52.3,NA,NA,52.6,NA,NA,54.7,NA,NA,55.8,NA,NA
3,Ah,31302,16.6,NA,NA,18.4,NA,NA,19.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31303,13.8,NA,NA,16.8,NA,NA,20.2,NA,NA,22.6,NA,NA,23.6,NA,NA,23.9,NA,NA,23.8,NA,NA,24.4,NA,NA,26.5,NA,NA
1,Bu,31304,31.0,NA,NA,35.3,NA,NA,41.8,NA,NA,47.2,NA,NA,51.8,NA,NA,54.6,NA,NA,55.2,NA,NA,56.3,NA,NA,58.7,NA,37.5
1,Bu,31305,7.5,NA,NA,7.5,NA,NA,7.8,NA,NA,7.9,NA,NA,8.0,NA,NA,8.4,NA,NA,8.8,NA,NA,9.4,NA,NA,11.9,NA,12.3
1,Bu,31401,18.8,NA,NA,19.8,NA,NA,20.7,NA,NA,21.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31402,9.2,NA,NA,9.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
