Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
6,Bu,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.6,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.4,1.0,NA,NA,1.6,NA,NA,2.8,NA,NA,3.9,NA,NA
6,Bu,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.4,0.9,NA,NA,2.0,NA,NA,3.2,NA,NA,3.7,NA,NA
6,Bu,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,1.4,2.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.9,NA,NA,1.3,NA,NA,1.3,NA,NA,1.6,NA,NA
6,Bu,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.3,NA,NA,1.6,NA,NA,1.5,NA,NA,4.4,NA,NA
6,Bu,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.5,0.7,NA,NA,1.4,NA,NA,2.1,NA,NA,2.4,NA,NA
6,Bu,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.5,NA,NA,0.5,NA,NA,0.5,NA,NA,0.7,NA,NA
6,Bu,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.6,0.5,NA,NA,1.0,NA,NA,1.0,NA,NA,1.2,NA,NA
6,Bu,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.5,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.4,0.5,NA,NA,0.7,NA,NA,0.7,NA,NA,0.9,NA,NA
