Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
6,Bu,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.1,1.3,NA,NA,2.1,NA,NA,2.3,NA,NA,2.7,NA,NA
6,Bu,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.7,NA,NA,1.0,NA,NA,2.1,NA,NA,2.4,NA,NA
6,Bu,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.4,1.3,NA,NA,1.9,NA,NA,2.0,NA,NA,2.3,NA,NA
6,Bu,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,2.5,1.3,NA,NA,1.8,NA,NA,2.0,NA,NA,2.3,NA,NA
6,Bu,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,3.2,1.3,NA,NA,2.0,NA,NA,2.5,NA,NA,2.9,NA,NA
6,Bu,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,2.9,1.3,NA,NA,1.9,NA,NA,2.8,NA,NA,3.2,NA,NA
6,Bu,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.5,1.0,NA,NA,1.4,NA,NA,1.9,NA,NA,2.2,NA,NA
6,Bu,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,2.7,1.4,NA,NA,1.8,NA,NA,2.7,NA,NA,4.0,NA,NA
6,Bu,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,3.1,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.3,2.0,NA,NA,2.9,NA,NA,4.2,NA,NA,4.7,NA,NA
6,Bu,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,1.6,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.6,1.1,NA,NA,2.2,NA,NA,3.1,NA,NA,3.5,NA,NA
6,Bu,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.7,1.0,NA,NA,0.8,NA,NA,1.4,NA,NA,1.6,NA,NA
6,Bu,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,2.8,1.6,NA,NA,2.1,NA,NA,2.2,NA,NA,2.5,NA,NA
6,Bu,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,3.4,1.9,NA,NA,2.4,NA,NA,3.6,NA,NA,4.0,NA,NA
6,Bu,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,3.2,1.9,NA,NA,2.4,NA,NA,3.4,NA,NA,5.3,NA,NA
6,Bu,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,2.7,1.4,NA,NA,2.1,NA,NA,3.1,NA,NA,3.5,NA,NA
6,Bu,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.8,0.3,NA,NA,0.4,NA,NA,0.3,NA,NA,0.6,NA,NA
6,Bu,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.8,0.7,NA,NA,1.2,NA,NA,1.4,NA,NA,1.7,NA,NA
6,Bu,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.4,0.8,NA,NA,1.4,NA,NA,1.6,NA,NA,1.9,NA,NA
6,Bu,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,2.9,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,3.8,2.4,NA,NA,3.2,NA,NA,4.1,NA,NA,4.7,NA,NA
6,Bu,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,3.0,1.2,NA,NA,1.8,NA,NA,2.4,NA,NA,2.7,NA,NA
6,Bu,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,3.7,1.6,NA,NA,2.0,NA,NA,2.2,NA,NA,2.5,NA,NA
6,Bu,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.1,0.4,NA,NA,0.8,NA,NA,1.0,NA,NA,1.2,NA,NA
6,Bu,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,2.5,1.0,NA,NA,1.3,NA,NA,1.6,NA,NA,1.9,NA,NA
6,Bu,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,2.6,1.1,NA,NA,1.6,NA,NA,2.5,NA,NA,4.7,NA,NA
6,Bu,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,2.6,3.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,2.0,0.6,NA,NA,1.1,NA,NA,1.3,NA,NA,1.6,NA,NA
6,Bu,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.7,1.3,NA,NA,1.6,NA,NA,2.1,NA,NA,2.9,NA,NA
6,Bu,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.8,0.7,NA,NA,1.0,NA,NA,1.4,5,NA,NA,NA,NA
6,Bu,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,3.9,3.0,NA,NA,4.1,NA,NA,4.7,NA,NA,5.3,NA,NA
6,Bu,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,11.2,NA,10.6,11.7,NA,12.0,12.5,NA,14.0,20.1,NA,NA
6,Bu,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,3.6,2.0,NA,NA,2.6,NA,NA,3.2,NA,NA,3.7,NA,NA
6,Bu,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,2.8,1.3,NA,NA,1.7,NA,NA,2.0,NA,NA,2.3,NA,NA
6,Bu,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,2.1,0.5,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA
6,Bu,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.6,0.6,NA,NA,1.0,NA,NA,1.1,NA,NA,1.3,NA,NA
6,Bu,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.2,NA,NA,0.5,NA,NA,0.5,NA,NA,0.7,NA,NA
6,Bu,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,10.5,NA,NA,10.8,5,NA,NA,NA,NA,NA,NA,NA
6,Bu,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.2,NA,NA,1.6,NA,NA,2.4,NA,NA,2.7,NA,NA
6,Bu,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.8,1.0,NA,NA,1.8,NA,NA,2.5,NA,NA,2.8,NA,NA
6,Bu,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.9,1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,501,18.2,NA,NA,20.0,NA,NA,22.8,NA,NA,25.4,NA,NA,28.0,NA,NA,31.4,NA,NA,31.7,NA,NA,33.2,NA,NA,33.9,NA,NA,35.1,NA,NA,36.7,NA,NA
1,Bu,502,10.2,NA,NA,10.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,503,19.7,NA,NA,21.0,NA,NA,22.6,NA,NA,23.8,NA,NA,24.8,NA,NA,25.8,NA,NA,25.9,NA,NA,26.6,NA,NA,27.6,NA,NA,28.6,NA,NA,29.4,NA,NA
1,Bu,504,21.3,NA,NA,23.2,NA,NA,27.6,NA,NA,31.8,NA,NA,34.9,NA,NA,37.6,NA,NA,37.8,NA,NA,38.8,NA,NA,39.3,NA,NA,40.3,NA,NA,40.8,NA,34.0
1,Bu,505,12.2,NA,NA,12.8,NA,NA,13.2,NA,NA,13.2,NA,NA,13.2,NA,NA,13.7,NA,NA,13.8,NA,NA,14.1,NA,15.4,14.8,3,15.4,NA,NA,NA,NA,NA,NA
1,Bu,506,12.6,NA,NA,16.6,NA,NA,17.7,NA,NA,17.9,NA,NA,18.1,NA,NA,19.1,NA,NA,19.3,NA,NA,20.2,NA,NA,21.0,NA,NA,21.9,NA,NA,22.3,NA,NA
1,Bu,507,7.1,NA,NA,7.1,NA,NA,7.1,NA,NA,7.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,508,11.2,NA,NA,11.5,NA,NA,11.5,NA,NA,11.6,NA,NA,11.8,NA,NA,12.6,NA,NA,12.7,NA,NA,13.4,NA,NA,14.0,NA,NA,14.8,NA,NA,15.6,NA,NA
1,Bu,601,35.1,NA,NA,37.8,NA,NA,42.2,NA,NA,47.4,NA,NA,51.2,NA,NA,53.1,NA,NA,53.4,NA,NA,54.8,NA,NA,56.1,NA,NA,56.7,NA,NA,57.4,5,NA
1,Bu,602,32.4,NA,NA,34.8,NA,NA,39.2,NA,NA,44.2,NA,NA,48.2,NA,NA,50.6,3,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,603,25.4,NA,NA,25.5,NA,NA,30.0,NA,NA,32.4,NA,NA,34.0,NA,NA,35.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,604,24.4,NA,NA,25.5,NA,NA,27.4,NA,NA,31.4,NA,NA,37.4,NA,NA,42.2,NA,NA,42.8,NA,NA,46.0,NA,NA,47.6,NA,NA,49.5,NA,NA,51.1,NA,40.4
1,Bu,605,16.9,NA,NA,17.5,NA,NA,18.1,NA,NA,19.9,NA,NA,22.0,NA,NA,25.1,NA,NA,25.6,NA,NA,28.3,NA,NA,29.8,NA,NA,32.7,NA,NA,35.3,3,NA
1,Bu,606,6.8,NA,6.2,7.0,NA,NA,7.0,NA,NA,7.6,NA,NA,7.6,NA,NA,8.5,NA,NA,8.7,NA,NA,9.8,NA,NA,10.4,NA,NA,11.1,NA,NA,12.5,NA,NA
1,Bu,701,30.0,NA,NA,30.8,NA,NA,34.2,1,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,702,25.1,NA,NA,26.4,NA,NA,28.2,NA,NA,32.0,NA,NA,36.9,NA,NA,41.2,NA,NA,42.2,2,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,703,38.3,NA,NA,39.2,NA,NA,39.7,NA,NA,41.5,NA,NA,44.5,NA,NA,49.0,NA,NA,49.5,NA,NA,51.9,NA,NA,52.5,NA,NA,53.9,NA,NA,55.5,NA,NA
1,Bu,704,6.8,NA,NA,7.1,NA,NA,7.3,NA,NA,8.2,NA,NA,9.2,NA,NA,11.7,NA,NA,12.0,NA,NA,13.6,NA,NA,13.8,NA,NA,14.1,NA,NA,15.0,NA,13.1
1,Bu,705,5.5,NA,NA,5.8,NA,NA,6.1,NA,NA,7.6,NA,NA,9.1,NA,NA,9.0,3,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,706,6.0,NA,NA,6.2,NA,5.7,6.4,NA,NA,6.6,NA,NA,7.4,NA,NA,8.5,NA,NA,8.6,NA,NA,8.8,NA,NA,9.0,NA,NA,8.9,NA,NA,9.5,NA,NA
1,Bu,707,5.8,NA,NA,6.0,NA,NA,6.2,NA,NA,6.6,NA,NA,8.2,NA,NA,9.8,NA,NA,10.0,NA,NA,11.0,NA,NA,10.7,NA,NA,11.0,NA,NA,11.4,NA,NA
1,Bu,708,5.4,NA,NA,5.6,NA,NA,5.9,NA,NA,6.0,NA,NA,7.3,NA,NA,9.1,NA,NA,9.3,NA,NA,10.1,NA,NA,10.1,NA,NA,10.0,NA,NA,10.1,7,NA
1,Bu,801,46.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,901,50.2,NA,NA,52.6,NA,NA,57.5,NA,NA,62.0,NA,NA,67.1,NA,NA,69.9,3,34.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,902,30.8,NA,NA,32.5,NA,NA,35.1,NA,NA,38.0,NA,NA,41.6,NA,NA,45.4,NA,NA,46.0,NA,NA,49.0,NA,NA,50.4,NA,NA,52.9,NA,NA,55.1,NA,33.4
1,Bu,903,11.7,NA,NA,11.8,NA,NA,12.4,NA,NA,12.8,NA,NA,14.0,NA,NA,16.0,NA,NA,16.1,NA,NA,16.8,NA,NA,16.9,NA,NA,17.2,NA,NA,17.2,NA,NA
1,Bu,904,7.2,NA,NA,7.5,NA,NA,8.0,NA,NA,9.0,NA,NA,9.8,NA,NA,12.3,NA,NA,12.7,NA,NA,14.6,NA,NA,15.9,NA,NA,16.6,NA,NA,18.1,NA,NA
1,Bu,905,5.0,NA,NA,5.2,NA,NA,5.5,NA,NA,6.7,NA,NA,8.1,NA,NA,8.0,3,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,914,42.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1001,43.8,NA,NA,47.3,NA,NA,53.0,NA,NA,59.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1002,9.5,NA,NA,9.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1003,13.2,NA,NA,13.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1004,15.7,NA,NA,17.4,NA,NA,19.8,NA,NA,22.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1005,13.0,NA,NA,13.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1006,19.7,NA,NA,21.3,NA,NA,24.2,NA,NA,28.8,NA,NA,35.4,NA,29.4,41.4,NA,30.8,42.2,NA,NA,46.0,NA,NA,47.6,NA,NA,49.8,NA,NA,51.5,NA,NA
2,Hbu,1007,7.8,NA,NA,8.9,NA,NA,10.8,NA,NA,12.1,NA,NA,13.6,NA,NA,16.2,NA,NA,16.6,NA,NA,18.4,NA,NA,18.9,NA,NA,20.3,NA,NA,20.4,NA,NA
1,Bu,1008,10.1,NA,NA,11.0,NA,NA,12.4,NA,NA,13.6,NA,NA,16.1,NA,NA,19.1,NA,NA,19.5,NA,NA,21.4,NA,NA,23.1,NA,NA,25.1,NA,NA,27.6,NA,20.3
2,Hbu,1009,7.0,NA,NA,7.2,NA,NA,7.4,NA,NA,7.8,NA,NA,8.0,NA,NA,8.6,NA,NA,8.5,NA,NA,7.7,NA,NA,8.4,NA,NA,8.5,NA,NA,8.3,NA,NA
1,Bu,1010,5.5,NA,NA,5.7,NA,NA,5.8,NA,NA,6.0,NA,NA,6.8,NA,NA,7.7,NA,NA,7.9,NA,NA,8.7,NA,13.4,9.2,NA,NA,9.9,NA,NA,10.7,NA,NA
3,Es,1101,11.8,NA,NA,12.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1102,5.8,NA,NA,7.0,NA,NA,8.4,NA,NA,9.4,NA,NA,12.6,NA,NA,15.6,NA,NA,15.9,NA,NA,17.2,NA,NA,18.6,NA,NA,19.1,NA,NA,21.1,NA,NA
1,Bu,1103,8.9,NA,NA,10.0,NA,NA,12.0,NA,NA,13.6,NA,NA,16.9,NA,NA,19.3,NA,NA,19.7,NA,NA,21.9,NA,NA,23.0,NA,NA,25.3,NA,NA,27.4,NA,NA
3,Es,1104,20.0,NA,NA,21.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1105,32.9,NA,NA,35.8,NA,NA,42.6,NA,NA,48.2,NA,NA,54.6,NA,32.0,60.7,NA,33.8,61.0,NA,NA,62.5,NA,34.9,65.6,NA,35.6,66.6,NA,36.4,70.3,NA,37.3
1,Bu,1106,9.2,NA,NA,10.8,NA,NA,12.8,NA,NA,13.8,NA,NA,16.4,NA,NA,18.5,NA,NA,18.7,NA,NA,19.8,NA,NA,20.2,NA,NA,20.8,NA,NA,22.2,NA,NA
1,Bu,1107,17.0,NA,NA,18.3,NA,NA,22.0,NA,NA,23.8,NA,NA,25.2,NA,NA,27.4,NA,NA,27.7,NA,NA,29.2,NA,NA,29.7,NA,NA,31.6,NA,NA,32.3,NA,NA
1,Bu,1108,6.8,NA,NA,7.2,NA,NA,8.4,NA,NA,9.5,NA,NA,11.6,NA,NA,14.0,NA,NA,14.3,NA,NA,15.7,NA,18.9,16.8,NA,NA,18.3,NA,NA,20.2,NA,NA
1,Bu,1109,5.8,NA,NA,5.9,NA,NA,6.1,NA,NA,6.3,NA,NA,6.5,NA,NA,7.0,NA,NA,7.0,NA,NA,6.9,NA,NA,6.9,NA,NA,7.3,NA,NA,7.2,NA,NA
1,Bu,1110,7.0,NA,NA,7.6,NA,NA,8.4,NA,NA,10.0,NA,NA,12.0,NA,NA,14.6,NA,NA,14.8,NA,NA,15.6,NA,NA,16.7,NA,NA,18.0,NA,NA,20.0,NA,NA
1,Bu,1111,48.0,1,25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1201,15.0,NA,NA,16.0,NA,NA,18.2,NA,NA,20.4,NA,NA,22.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1202,8.4,NA,NA,9.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,1203,6.8,NA,NA,7.6,NA,NA,8.4,NA,NA,9.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1204,6.8,NA,NA,7.0,NA,NA,7.4,NA,NA,8.1,NA,NA,10.2,NA,NA,12.7,NA,NA,12.9,NA,NA,14.1,NA,NA,15.4,1,NA,NA,NA,NA,NA,NA,NA
3,Es,1301,36.8,NA,NA,38.6,NA,26.5,42.0,NA,NA,46.4,NA,NA,51.5,NA,NA,56.5,NA,NA,56.7,NA,NA,57.8,NA,35.2,60.1,3,35.2,NA,NA,NA,NA,NA,NA
1,Bu,1302,28.7,NA,NA,29.9,NA,24.0,32.0,7,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1303,11.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1304,24.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1401,26.9,NA,NA,28.6,NA,NA,32.1,NA,NA,36.6,NA,NA,40.4,NA,NA,42.8,3,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1402,26.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1404,31.9,NA,NA,35.6,NA,NA,40.0,NA,NA,45.3,NA,NA,50.4,NA,NA,55.8,NA,NA,56.2,NA,NA,58.2,NA,NA,60.1,NA,NA,62.3,NA,NA,64.6,NA,NA
1,Bu,1405,29.3,NA,NA,30.6,NA,NA,33.8,NA,NA,35.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1406,48.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1501,32.1,NA,NA,33.7,NA,NA,36.4,NA,NA,40.0,NA,NA,44.1,NA,NA,47.2,NA,NA,47.5,NA,NA,49.0,NA,NA,49.7,NA,NA,51.2,NA,NA,51.5,NA,NA
1,Bu,1502,6.1,NA,NA,7.2,NA,NA,9.0,NA,NA,9.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1503,41.3,NA,12.5,43.4,NA,NA,45.6,NA,NA,48.3,NA,NA,51.6,NA,NA,54.0,3,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1504,12.5,NA,NA,12.8,NA,NA,13.0,NA,NA,13.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1505,50.1,NA,NA,51.8,NA,NA,55.8,NA,NA,61.2,NA,NA,66.7,NA,NA,71.9,NA,NA,72.2,NA,NA,73.6,NA,35.1,75.5,3,35.1,NA,NA,NA,NA,NA,NA
1,Bu,1506,12.8,NA,NA,13.0,NA,NA,13.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1507,6.8,NA,NA,7.0,NA,NA,7.6,NA,NA,7.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1601,31.8,NA,NA,33.4,NA,NA,36.9,NA,NA,41.3,NA,NA,46.4,NA,NA,51.1,NA,NA,51.5,NA,NA,53.3,NA,NA,55.1,NA,NA,58.0,NA,NA,59.5,NA,36.0
1,Bu,1602,28.7,NA,NA,30.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1603,30.7,NA,NA,32.8,NA,NA,34.3,NA,NA,36.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1604,7.2,NA,NA,7.9,NA,NA,8.4,NA,NA,9.1,NA,NA,9.8,NA,NA,11.7,NA,NA,12.0,NA,NA,13.6,NA,NA,14.4,NA,NA,15.1,NA,NA,16.3,NA,NA
1,Bu,1701,39.4,NA,NA,40.9,NA,NA,46.0,7,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1702,9.0,NA,NA,9.2,NA,NA,9.8,NA,NA,10.5,NA,NA,11.5,NA,NA,13.4,NA,NA,13.7,NA,NA,15.2,NA,NA,15.6,NA,NA,16.5,NA,NA,17.2,NA,NA
1,Bu,1703,5.8,NA,NA,6.0,NA,NA,6.0,NA,NA,6.2,NA,NA,7.2,NA,NA,8.2,NA,NA,8.3,NA,NA,8.7,NA,NA,8.9,NA,NA,8.8,NA,NA,8.9,NA,9.5
1,Bu,1704,31.5,NA,NA,33.4,NA,NA,38.0,NA,NA,44.2,NA,NA,49.5,NA,NA,52.7,3,33.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
