Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,303,11.4,NA,NA,12.8,NA,NA,16.4,NA,18.1,18.2,NA,20.7,19.5,NA,24.5,21.2,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,304,9.9,NA,NA,9.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,305,14.0,NA,NA,16.2,NA,NA,20.3,NA,NA,23.3,NA,NA,26.5,NA,NA,29.0,NA,NA,32.0,NA,NA,34.0,NA,NA
1,Bu,306,6.5,NA,NA,6.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,307,15.0,NA,NA,17.4,NA,NA,22.5,NA,NA,28.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,308,14.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,309,10.0,NA,NA,10.1,NA,NA,10.2,NA,NA,10.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,310,11.4,NA,NA,12.0,NA,NA,15.2,NA,18.6,17.3,NA,21.1,19.3,NA,21.0,20.5,NA,NA,21.6,NA,NA,22.8,NA,27.0
1,Bu,311,8.2,NA,NA,8.2,NA,NA,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,312,9.3,NA,NA,9.5,NA,NA,10.6,NA,NA,10.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,313,23.9,NA,NA,27.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,314,8.8,NA,NA,9.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,315,10.0,NA,NA,9.8,NA,NA,11.7,NA,NA,12.8,NA,NA,13.0,NA,NA,13.3,1,NA,NA,NA,NA,NA,NA,NA
1,Bu,316,21.4,NA,NA,23.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,317,6.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,318,7.6,NA,NA,7.9,NA,NA,9.4,NA,NA,10.0,NA,NA,10.5,NA,NA,10.7,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,319,18.5,NA,NA,21.2,NA,NA,28.2,NA,NA,34.6,NA,NA,41.6,NA,NA,46.3,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,320,14.3,NA,NA,16.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,321,7.6,NA,NA,7.6,NA,NA,8.5,NA,NA,8.6,5,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,401,19.2,NA,NA,23.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,402,12.8,NA,NA,14.0,NA,NA,17.7,NA,NA,21.4,NA,22.0,24.2,NA,NA,26.1,NA,NA,28.5,NA,NA,30.5,NA,NA
1,Bu,403,8.4,NA,NA,8.9,NA,NA,10.2,NA,NA,11.0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,404,6.1,NA,NA,6.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,405,10.0,NA,NA,11.8,NA,NA,14.6,NA,NA,17.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,406,9.9,NA,NA,10.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,407,6.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,408,15.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,409,7.9,NA,NA,7.8,NA,NA,8.2,NA,NA,8.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,410,7.7,NA,NA,7.6,NA,NA,7.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,411,12.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,412,6.7,NA,NA,6.6,NA,NA,6.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,413,10.2,NA,NA,9.8,NA,NA,10.2,NA,NA,10.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,414,24.5,NA,NA,26.8,NA,NA,32.8,NA,NA,37.8,NA,NA,41.1,NA,NA,42.1,NA,NA,45.3,NA,NA,47.8,NA,31.2
1,Bu,415,7.0,NA,NA,7.0,NA,NA,7.6,NA,NA,7.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,416,10.2,NA,NA,10.4,NA,NA,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,417,15.1,NA,NA,16.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,418,9.0,NA,NA,9.2,NA,NA,10.2,NA,NA,10.3,NA,NA,10.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,419,9.6,NA,NA,10.0,NA,NA,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,420,12.5,NA,NA,14.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,421,17.8,NA,NA,22.0,NA,NA,29.3,NA,NA,34.5,NA,NA,39.2,NA,NA,41.0,NA,NA,44.7,NA,30.6,47.6,NA,31.1
1,Bu,422,13.8,NA,NA,15.0,NA,NA,18.3,NA,NA,19.2,NA,NA,19.8,NA,NA,20.1,NA,NA,21.9,NA,NA,26.1,NA,NA
1,Bu,423,31.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,424,8.4,NA,NA,8.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,425,25.5,NA,NA,30.4,NA,NA,35.7,NA,NA,42.2,NA,25.0,48.3,NA,26.5,53.3,3,NA,NA,NA,NA,NA,NA,NA
