Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,719,14.5,NA,NA,14.9,NA,NA,15.8,NA,NA,16.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,720,9.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,721,28.0,NA,NA,31.6,NA,NA,37.3,NA,NA,43.0,NA,NA,48.9,NA,NA,51.6,NA,30.2,54.2,NA,31.1,56.5,NA,NA
1,Bu,801,12.2,NA,NA,12.2,NA,NA,12.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,802,13.4,NA,NA,13.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,803,20.3,NA,NA,22.6,NA,NA,26.6,NA,NA,30.2,NA,NA,34.3,NA,NA,37.2,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,804,20.0,NA,NA,21.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,805,18.0,NA,NA,20.2,NA,NA,24.4,NA,NA,28.4,NA,NA,32.0,NA,NA,34.7,NA,NA,37.0,NA,NA,39.3,NA,NA
1,Bu,806,16.3,NA,NA,16.9,NA,NA,19.1,NA,NA,20.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,807,6.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,808,12.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,809,13.1,NA,NA,12.8,NA,NA,13.6,NA,NA,14.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,810,6.6,NA,NA,6.6,NA,NA,7.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,811,11.4,NA,NA,11.2,NA,NA,11.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,812,9.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,813,12.2,NA,NA,12.3,NA,NA,12.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,814,26.4,NA,NA,28.8,NA,NA,33.4,NA,NA,37.6,NA,NA,41.2,NA,NA,43.9,NA,NA,47.0,NA,NA,49.3,NA,NA
1,Bu,901,18.4,NA,NA,19.4,NA,NA,21.4,NA,NA,22.4,NA,NA,23.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,902,14.0,NA,NA,14.1,NA,NA,14.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,903,18.5,NA,NA,21.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,904,9.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,905,9.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,906,14.9,NA,NA,16.1,NA,NA,17.4,NA,NA,18.3,NA,NA,19.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,907,8.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,908,9.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,909,13.8,NA,NA,13.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,910,19.9,NA,NA,22.0,NA,NA,25.6,NA,NA,29.7,NA,NA,33.1,NA,NA,35.2,NA,NA,37.9,NA,NA,39.2,NA,NA
1,Bu,911,18.6,NA,NA,19.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,912,11.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,913,11.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,914,14.6,NA,NA,15.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,915,19.0,NA,NA,21.5,NA,NA,25.3,NA,NA,29.6,NA,NA,33.7,NA,NA,35.9,NA,NA,38.3,NA,NA,40.0,NA,NA
