Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:02:44
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 04
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	24.07.1984	24.07.1984	24.07.1984	12.09.1995	12.09.1995	12.09.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	370	14	38	356	99	47	257	143	28	114	0	42	
2	Ofi	249	10,5			12,3	5								
2	Ofi	250	8,5	1											
2	Ofi	251	10,0			12,8			14,5	7					
2	Ofi	252	11,0			14,9			17,5	7					
2	Ofi	253	8,1			11,2			14,0	7					
2	Ofi	254	11,8			16,3			19,5	7					
2	Ofi	255	11,1			15,1			18,5	7					
2	Ofi	256	13,9		10,0	19,1			22,5	7					
2	Ofi	257	10,1			13,8			15,5			19,3			
2	Ofi	258	9,0			12,8			23,4	1					
3	Fi	259	6,4			6,9	4								
2	Ofi	260	11,9			12,4	5								
2	Ofi	261	10,2			13,5			16,0	7					
2	Ofi	262	7,5			9,3			11,5	7					
2	Ofi	263	9,5			14,1			18,9		19,5	23,1		22,3	
2	Ofi	264	12,4			13,3	5								
2	Ofi	265	8,9			10,5			12,0	7					
2	Ofi	266	10,9			15,9			20,0			22,2			
2	Ofi	267	10,7	1											
2	Ofi	268	15,1			19,6			22,4			24,2			
2	Ofi	269	8,4			12,9			14,8	1					
2	Ofi	270	6,2			6,6	4								
2	Ofi	271	13,2			19,3			22,0	7					
2	Ofi	272	9,2			13,1			15,0	7					
2	Ofi	273	10,8		9,0	14,3			16,0	7					
2	Ofi	274	10,3			13,6			16,0	7					
2	Ofi	275	11,4			15,1			16,1	1					
2	Ofi	276	9,8			12,8			15,0	7					
2	Ofi	277	12,8			19,1			24,1			27,6			
2	Ofi	278	11,6			17,5			21,9	1					
2	Ofi	279	9,0			14,9			18,0	7					
2	Ofi	280	4,8	1											
2	Ofi	281	11,4		10,0	17,1		14,5	22,5			26,1			
2	Ofi	282	12,2			15,1			17,0	7					
2	Ofi	283	10,0			12,5			15,0	1					
