Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1974,Aus_1974,H_1974,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,62,15.0,NA,NA,17.5,NA,NA,20.4,NA,NA,21.0,NA,23.5,23.3,NA,30.0,24.6,NA,33.5,25.3,NA,36.8,25.8,NA,32.3,26.3,NA,36.9
1,Bu,63,20.8,NA,NA,22.7,NA,NA,26.1,NA,NA,26.6,NA,NA,27.4,NA,NA,27.8,NA,NA,27.6,NA,NA,27.8,NA,NA,27.8,NA,NA
1,Bu,64,20.4,NA,NA,23.8,NA,NA,27.7,NA,NA,30.3,NA,NA,35.5,NA,NA,39.7,NA,NA,43.2,NA,NA,44.3,NA,NA,46.6,NA,NA
1,Bu,65,10.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,66,7.6,NA,NA,10.8,NA,NA,10.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,67,8.8,NA,NA,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,68,20.2,NA,19.5,22.8,NA,NA,26.4,NA,NA,28.2,NA,NA,31.1,NA,NA,32.3,NA,NA,33.2,NA,NA,33.3,NA,NA,33.8,NA,NA
1,Bu,69,19.4,NA,NA,20.8,NA,NA,22.4,NA,NA,22.8,NA,NA,23.2,NA,NA,23.4,NA,NA,23.5,NA,NA,23.5,NA,NA,23.6,NA,NA
1,Bu,70,9.3,NA,NA,9.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,71,19.5,NA,NA,21.4,NA,NA,23.7,NA,NA,25.0,NA,28.5,26.2,NA,31.0,26.1,NA,NA,26.3,NA,NA,26.8,NA,NA,26.0,5,NA
