Aufnahme	Aufnahme	Aufnahme	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	
Wert	Wert	Wert	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	
Einheit	Einheit	Einheit	cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		
Bst.-E.	Art	Baum	402			41		0	121		402	29		0	402		0		361			181		0	99		361	38		0	361		0		180			17		0	0		180	9		0	180		0		163			74		5	0		163	10		0	163		0		89			0		0	0		89	0		0	0		0		
1	Ei	39	10,4	2	130		0			0	N	14,4	2		14,50	3			10,5	2	130	5	0			0	N		 		14,20	3																																																			
1	Ei	40	8,2	2	130	5	0			0	N		 		12,70	3																																																																			
1	Ei	41	10,9	2	130		0			0	N		 		14,80	3			12,4	2	130		0			0	N		 		15,90	3			13,1	0	0	1	0			0	N		 		17,30	3																																			
1	Ei	42	9,7	2	130		0			0	N	14,4	2		14,00	3			15,7	2	130		0			0	N		 		18,10	3			19,2	0	0		0			0	N		 		20,90	3			21,8	3	0		0			0	N		 		23,50	3			24,4	3	130		0			0	N		 						
1	Ei	43	17,9	2	130		0			0	N	14,9	2		17,80	3			23,6	2	130		0			0	J	20,2	4		21,50	3			25,2	0	0		0			0	J	21,0	 		23,00	3			27,4	3	0		0			0	J		 		24,80	3			29,4	3	130		0			0	N		 						
1	Ei	44	5,4	2	130	5	0		krumm	0	N		 		9,30	3																																																																			
1	Ei	45	11,2	2	130		0			0	N		 		15,00	3			15,5	2	130		0			0	N		 		18,00	3			16,9	0	0		0			0	N		 		19,70	3			19,1	3	0	2	0			0	N		 		22,60	3																			
1	Ei	46	11,6	2	130	5	0			0	N	14,4	2		15,20	3																																																																			
1	Ei	47	8,0	2	130		0		krumm	0	N		 		12,50	3			8,0	2	130	5	0		krumm	0	N		 		11,30	3																																																			
1	Ei	48	11,7	2	130		0			0	N		 		15,30	3			14,7	2	130		0			0	N		 		17,50	3			16,5	0	0		0			0	N		 		19,50	3			17,9	3	0	2	0			0	N		 		22,20	3																			
1	Ei	49	18,8	2	130		0			0	N		 		18,10	3			24,1	2	130		0			0	J	21,8	4		21,60	3			28,9	0	0		0			0	J		 		23,90	3			32,1	3	0		0			0	J		 		25,50	3			36,1	3	130		0			0	N		 						
1	Ei	50	4,4	2	130	5	0			0	N		 		7,60	3																																																																			
1	Ei	51	9,7	2	130		0			0	N		 		14,00	3			9,6	2	130	5	0			0	N		 		13,20	3																																																			
1	Ei	52	14,7	2	130		0		fae a	0	N		 		16,70	3			18,1	2	130		0		fae a	0	N		 		19,40	3			19,8	0	0		0			0	N		 		21,10	3			22,2	3	0	2	0			0	N		 		23,60	3																			
