Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,126,12.5,1,15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,127,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,128,10.3,NA,NA,10.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,129,9.0,NA,NA,8.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,130,20.2,NA,NA,22.8,NA,NA,26.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,131,21.3,NA,22.2,27.9,NA,26.9,36.2,NA,32.9,39.8,NA,NA,44.2,NA,NA,46.4,NA,NA
1,Bu,132,8.8,NA,NA,8.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,133,22.8,NA,NA,28.6,NA,NA,36.6,NA,NA,42.0,NA,NA,48.4,NA,NA,48.8,NA,NA
1,Bu,134,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,135,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,136,20.1,NA,NA,23.1,NA,NA,24.5,NA,NA,25.6,NA,NA,27.9,NA,NA,30.3,2,NA
2,Es,137,14.0,NA,NA,16.3,NA,NA,16.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,138,9.6,NA,NA,9.6,NA,NA,9.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,139,13.2,NA,NA,13.6,NA,NA,14.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,140,14.0,NA,NA,14.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,141,7.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,142,7.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,143,15.8,NA,NA,16.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,144,18.2,NA,NA,21.8,NA,NA,23.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,145,21.3,NA,NA,26.3,NA,NA,34.8,NA,NA,39.3,NA,NA,46.0,1,NA,NA,NA,NA
1,Bu,146,12.7,NA,NA,12.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,147,15.1,NA,NA,18.1,NA,NA,20.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Eb,148,13.8,NA,NA,14.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,149,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,150,23.0,NA,NA,26.8,NA,NA,30.8,NA,NA,33.0,NA,NA,35.7,1,NA,NA,NA,NA
1,Bu,151,10.0,NA,NA,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,152,11.2,NA,NA,11.1,NA,NA,11.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,153,8.1,NA,NA,8.1,NA,NA,8.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,154,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,155,17.8,NA,NA,21.2,NA,NA,26.8,NA,NA,30.5,NA,NA,35.2,NA,NA,38.5,NA,NA
1,Bu,156,17.9,NA,NA,21.3,NA,23.5,26.6,NA,NA,30.5,NA,NA,35.6,NA,NA,38.5,2,NA
1,Bu,157,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,158,15.8,NA,NA,19.0,NA,NA,21.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,159,8.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,160,16.5,NA,NA,17.4,NA,NA,17.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,161,23.8,NA,NA,31.0,NA,NA,43.5,NA,NA,49.8,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,162,12.2,NA,NA,12.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,163,21.3,NA,NA,25.7,NA,NA,29.9,NA,NA,31.9,NA,NA,36.0,NA,NA,40.2,NA,NA
1,Bu,164,12.6,NA,NA,12.7,NA,24.1,12.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,165,10.5,NA,NA,10.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,166,19.5,NA,21.8,24.8,NA,26.8,31.2,NA,31.6,34.5,NA,NA,39.5,NA,NA,42.3,NA,NA
2,Es,167,13.9,NA,NA,18.0,NA,NA,23.0,NA,NA,29.1,NA,NA,33.8,NA,NA,35.4,NA,NA
1,Bu,168,17.0,NA,NA,17.5,NA,NA,17.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,169,8.0,NA,NA,7.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,170,10.2,NA,NA,10.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,171,12.4,NA,NA,12.7,NA,NA,12.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,172,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,173,9.4,NA,NA,9.4,NA,NA,9.6,NA,NA,9.7,NA,NA,10.9,NA,NA,13.5,NA,NA
1,Bu,174,14.4,NA,NA,17.2,NA,NA,20.3,NA,NA,22.1,NA,NA,25.0,NA,NA,28.4,NA,32.8
1,Bu,175,25.9,NA,NA,30.0,NA,NA,34.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,176,14.4,NA,NA,18.6,NA,NA,24.4,NA,NA,27.7,NA,30.6,31.8,NA,32.7,33.8,NA,NA
1,Bu,177,12.6,NA,NA,12.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,178,8.3,NA,NA,8.4,NA,NA,8.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,179,7.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,180,12.5,NA,NA,13.8,NA,NA,14.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,181,12.6,NA,NA,13.6,NA,NA,13.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,182,21.8,NA,20.3,25.3,NA,24.6,29.4,2,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,183,7.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,184,16.9,NA,NA,19.5,NA,NA,21.6,NA,NA,22.8,NA,29.8,25.1,NA,33.5,28.6,NA,31.8
1,Bu,185,7.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,186,11.0,NA,NA,11.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,187,14.3,NA,19.1,17.2,NA,23.8,20.8,NA,27.2,21.8,NA,NA,23.0,1,NA,NA,NA,NA
1,Bu,188,6.6,NA,NA,6.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,189,20.5,NA,NA,24.9,NA,NA,31.0,NA,NA,34.6,NA,NA,40.8,NA,NA,46.1,NA,NA
1,Bu,190,12.4,NA,21.2,12.7,7,22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,191,6.2,NA,NA,6.0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,192,17.9,NA,NA,20.6,NA,24.5,22.2,7,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,193,11.3,NA,NA,11.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,194,10.4,NA,NA,10.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,195,14.3,NA,20.0,19.1,1,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,196,11.5,NA,NA,11.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,197,10.8,NA,15.3,11.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,198,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,199,10.0,NA,NA,9.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,200,12.2,NA,NA,12.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,201,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,202,20.0,NA,NA,24.6,NA,NA,29.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,203,10.8,NA,16.3,10.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,204,13.9,NA,NA,14.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,205,13.8,NA,19.6,14.6,NA,22.7,14.7,NA,22.7,25.8,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,206,16.1,NA,NA,20.0,NA,NA,23.9,NA,NA,26.0,NA,34.0,29.5,NA,36.7,32.0,NA,NA
1,Bu,207,12.4,NA,NA,12.5,NA,NA,12.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,208,17.6,NA,NA,20.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,209,12.0,NA,NA,11.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,210,17.6,NA,NA,20.2,NA,NA,23.6,NA,NA,24.9,NA,NA,26.3,NA,NA,28.9,NA,NA
2,Es,211,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,212,19.9,NA,NA,27.1,NA,NA,36.4,NA,NA,41.5,NA,NA,47.6,1,NA,NA,NA,NA
1,Bu,213,10.4,NA,NA,10.4,NA,NA,12.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,214,9.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,215,14.4,NA,NA,15.0,NA,NA,15.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,216,13.3,NA,NA,14.7,NA,NA,16.4,7,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,217,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,218,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,219,12.3,NA,NA,13.5,NA,NA,14.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
